Species	Sequencer	Cell	SampleID
M_evotis	r64044_20210127_010235	3_C01	m64044_210129_112552
M_evotis	r64044_20210320_003851	2_B01	m64044_210321_080848
M_evotis	r64044_20210320_003851	3_C01	m64044_210322_143753
M_evotis	r64069_20210527_210354	3_C01	m64069_210530_093739
M_evotis	r64069_20210615_184703	1_A01	m64069_210615_190413
M_evotis	r64069_20210615_184703	2_B01	m64069_210617_010323
M_lucifugus	r64069_20210520_184953	4_D01	m64069_210524_140102
M_lucifugus	r64069_20210527_210354	1_A01	m64069_210527_212224
M_lucifugus	r64069_20210527_210354	2_B01	m64069_210529_032546
M_lucifugus	r64069_20210603_234422	4_D01	m64069_210607_181737
M_lucifugus	r64069_20210603_234422	5_E01	m64069_210609_002940
M_thysanodes	r64044_20210127_010235	4_D01	m64044_210130_174350
M_thysanodes	r64044_20210223_230728	3_C01	m64044_210226_133229
M_thysanodes	r64044_20210317_020505	1_A01	m64044_210317_021618
